%TITLE%
 SSWA 230903/2100 36.157,-98.935 
%RAW%
 950.7,535,40.4,10.68,68.57,7.02
 950.3,543,40.4,10.68,30.88,7.02
 949.5,554,40.3,10.60,12.64,8.1
 948.6,566,40.2,10.52,22.58,16.74
 947.4,578,40.0,10.36,33.45,11.88
 946.3,589,39.9,10.28,32.13,8.1
 944.9,604,39.7,10.12,34.69,8.64
 943.3,620,39.5,9.96,21.61,11.88
 941.8,630,39.2,9.72,9.36,11.88
 940.8,637,39.1,9.64,23.50,11.88
 939.9,644,39.0,9.56,29.26,11.88
 939.1,650,38.8,9.40,29.32,11.34
 938.4,657,38.7,9.32,33.39,12.42
 937.6,663,38.7,9.32,26.11,9.72
 936.9,670,38.6,9.24,36.15,11.34
 936.1,683,38.5,9.16,28.57,11.34
 935.3,691,38.3,9.00,33.93,8.1
 934.6,696,38.1,8.84,41.89,11.34
 934.0,703,38.0,8.76,31.60,12.42
 933.3,711,37.9,9.52,38.92,9.18
 932.4,721,37.8,8.60,35.67,10.26
 931.5,730,37.8,8.60,26.30,9.72
 930.7,735,37.8,8.60,29.26,11.88
 930.1,741,37.7,8.52,27.19,8.64
 929.5,745,37.7,9.36,31.84,9.18
 928.9,750,37.6,9.28,36.00,9.18
 928.3,757,37.5,9.20,30.54,10.26
 927.7,763,37.4,9.12,31.38,12.42
 927.2,767,37.3,9.04,27.83,13.5
 926.8,768,37.1,8.88,15.74,12.96
 926.2,779,37.0,8.80,29.11,9.18
 925.5,785,36.8,8.63,43.53,9.72
 924.9,790,36.6,9.27,42.70,9.72
 924.3,797,36.5,9.19,34.49,10.26
 923.8,800,36.4,9.11,27.51,10.26
 923.4,802,36.2,8.95,36.50,11.88
 923.2,804,36.2,8.95,22.84,9.72
 922.9,808,36.2,8.95,25.22,10.8
 922.6,811,36.2,8.95,20.31,10.8
 922.2,814,36.1,8.86,30.42,10.26
 921.7,819,36.2,8.95,35.94,11.88
 921.2,824,36.2,8.95,23.50,10.8
 920.7,829,36.2,8.95,17.57,8.1
 920.2,832,36.1,8.86,19.09,9.72
 919.8,836,36.1,8.86,25.50,10.8
 919.3,841,36.0,8.78,28.29,10.8
 918.9,845,35.9,8.70,26.86,10.8
 918.5,849,35.8,8.62,30.57,8.1
 918.1,852,35.8,8.62,29.68,12.42
 917.6,859,35.7,8.54,26.61,10.26
 917.1,863,35.7,8.54,33.39,12.96
 916.6,864,35.5,8.38,30.29,10.26
 916.5,865,35.5,8.38,27.80,11.34
 916.1,868,35.5,8.38,30.75,12.96
 915.8,870,35.5,8.38,33.11,12.42
 915.6,872,35.5,8.38,28.29,12.42
 915.3,874,35.5,8.38,32.73,10.26
 915.1,877,35.5,8.38,31.90,11.34
 914.9,879,35.5,8.38,38.26,10.8
 914.7,882,35.4,8.29,36.60,12.96
 914.1,883,35.4,8.29,35.58,12.42
 913.9,884,35.4,8.29,36.27,14.04
 913.7,885,35.4,8.29,37.16,11.88
 913.3,889,35.3,8.21,42.24,13.5
 912.8,894,35.2,8.13,38.34,13.5
 912.5,896,35.2,8.13,25.84,11.34
 912.2,898,35.2,8.13,34.05,10.26
 911.9,900,35.2,8.89,26.30,10.8
 911.6,902,35.1,8.81,32.99,10.8
 911.5,904,35.2,8.89,25.93,10.8
 911.3,906,35.1,8.81,28.29,11.34
 911.1,908,35.1,8.81,32.28,10.8
 910.9,910,35.0,8.72,18.59,9.72
 910.7,913,34.9,8.64,26.11,8.64
 910.5,915,34.8,8.56,29.68,12.42
 910.2,918,34.6,8.40,21.98,11.88
 909.8,921,34.5,8.31,30.42,9.72
 909.4,925,34.5,8.31,24.56,12.96
 909.0,928,34.5,8.31,19.55,10.26
 908.6,932,34.5,8.31,28.29,9.72
 908.2,936,34.5,8.31,24.56,12.42
 907.8,940,34.5,8.31,20.15,9.72
 907.4,944,34.6,8.40,19.34,10.26
 907.0,947,34.7,8.48,23.29,9.18
 906.7,953,34.7,8.48,19.24,9.18
 906.3,956,34.7,8.48,25.50,9.72
 906.0,959,34.8,8.56,24.53,9.72
 905.7,963,34.8,8.56,26.26,8.1
 905.1,970,34.8,7.81,28.29,9.72
 904.6,975,35.0,7.97,23.42,9.72
 904.0,981,35.0,8.72,7.88,8.1
 903.4,987,35.0,8.72,0.00,7.02
 902.6,995,34.9,8.64,20.15,8.64
 901.9,1000,34.8,8.56,31.42,8.1
 901.3,1005,34.7,8.48,4.86,6.48
 900.8,1010,34.5,8.31,8.74,8.1
 900.4,1013,34.5,9.04,0.00,9.72
 900.0,1017,34.4,8.95,9.55,9.72
